사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Dec-19,2호선,246,신설동,19,1,1132,506,1503,2117,3179,6083,6266,15420,4929,11908,5072,9731,6622,9181,7779,8957,9262,9438,10466,8726,11747,7847,12692,6564,14462,6708,17662,6608,7118,5057,4295,3441,3565,3338,2716,3261,1079,2453,149,809,9,256,0,3,0,0
Dec-19,2호선,247,도림천,0,0,403,364,1026,869,2549,4525,3616,6240,2269,2209,2331,1592,1981,1287,2270,2031,1892,1293,1893,1762,2441,1605,2996,2041,3098,2192,3533,2607,1888,2433,905,1667,814,1541,488,1341,233,1161,45,451,3,30,0,1,0,0
Dec-19,2호선,248,양천구청,25,0,4627,1032,10599,2301,32459,5414,33615,10875,20713,6357,15027,6021,14021,6245,14094,7664,12288,9527,10514,10398,10113,12856,11852,15735,12031,19881,11145,29903,5105,26721,3548,16805,3065,16359,2586,16187,1074,13837,209,4618,2,188,0,10,0,0
Dec-19,2호선,249,신정네거리,71,5,7836,1841,13111,8726,42763,5687,43749,12350,25699,9285,19511,8326,17845,9338,17180,11171,16203,12901,14270,14282,14185,17806,18228,22056,19875,28405,15236,42505,8789,35288,6352,22788,5264,19645,4845,20032,2114,14632,343,4337,15,382,1,2,0,0
Dec-19,2호선,250,용두(동대문구청),17,0,1073,162,1441,1019,4953,2067,8336,6746,4327,3812,3538,3375,3875,4324,4703,4269,4793,4981,5152,5183,5453,5458,5861,5411,6123,5413,6555,8364,3247,6274,2581,3377,2182,3264,1508,2855,605,2132,110,661,3,32,0,0,0,0
Dec-19,3호선,309,지축,0,0,405,499,2094,1892,6354,2446,7875,2402,4378,1516,3304,1571,2968,1823,2852,2009,2821,2218,2547,2562,3077,3120,3773,3837,4021,3945,2249,6379,1071,5195,654,3832,448,3353,369,2988,178,1678,56,380,0,0,0,0,0,0
Dec-19,3호선,310,구파발,148,10,9859,1444,29355,9509,90861,22358,95892,31095,54233,28149,38005,29106,35254,27526,36363,30715,35712,34102,35350,34045,38368,36482,43359,41638,46491,48271,40107,75255,25415,66654,21178,40776,18692,38233,15728,36412,5548,28497,1048,10771,16,927,0,1,0,0
Dec-19,3호선,311,연신내,316,18,27256,2449,51810,13595,142559,26964,182050,39414,107757,43488,75878,40786,70262,43831,77679,49166,73140,56949,66410,60064,66817,71300,78047,84428,72572,102135,62912,150338,44440,140037,35790,86527,34330,81639,30781,79233,15381,55916,2917,19922,74,521,0,11,0,0
Dec-19,3호선,312,불광,29,3,9358,1181,18836,6392,54051,10239,69064,33611,40558,33413,30427,30489,30021,28908,30815,32280,33424,36798,32893,37151,34434,38847,37397,43968,37879,51056,38504,65498,22182,55939,17867,34495,17604,30787,12799,29792,5712,20511,1024,7014,20,207,0,0,0,0
Dec-19,3호선,313,녹번,26,9,8377,1447,20662,11559,60588,7629,73389,18468,42872,11853,28073,10761,24604,10445,24032,12417,22494,13924,19925,15713,19100,18825,23640,25383,25282,31849,22584,48353,10931,44881,7705,29183,6636,28414,5465,27247,2498,18744,353,5890,3,169,0,0,0,0
Dec-19,3호선,314,홍제,80,4,8881,1452,22058,8813,63514,12353,80809,27353,50600,22415,37100,20627,34931,20903,36852,23471,34456,26186,31885,28721,32581,34533,34584,41209,38112,47307,33969,63914,18553,57188,14403,36201,12327,34141,9662,33306,4325,22545,704,6513,37,224,0,0,0,0
Dec-19,3호선,315,무악재,29,0,1929,249,4622,1672,15694,2879,19310,5705,11894,4087,9107,4046,7852,4198,7436,4473,6598,5415,6269,6072,5588,7443,6448,8680,7035,10775,7462,14986,3409,13834,2522,9174,2408,9211,1656,9534,834,6713,117,1904,7,54,0,0,0,0
Dec-19,3호선,316,독립문,118,1,4929,762,6101,5279,17247,15084,23117,22888,18311,20801,16656,18438,19173,12978,18693,13219,17493,15336,17021,14616,17863,14624,20188,15652,18939,16850,18007,20135,8876,17098,6542,11168,5717,10231,4066,10616,1627,7201,315,3637,19,1264,0,105,0,0
Dec-19,3호선,317,경복궁(정부서울청사),128,4,3163,1488,5936,13327,14864,40295,22725,127928,24654,84306,23558,65104,34227,58836,38893,56069,47993,56976,54531,47184,66597,42541,79474,38823,92512,41506,115353,46319,48456,30520,40091,17071,49823,14631,32788,14282,13630,9475,2370,2976,184,122,0,25,0,0
Dec-19,3호선,318,안국,37,2,1856,2229,3488,19711,6452,97732,10194,119952,11668,83757,16532,65310,26532,71570,36199,63289,42884,58738,53559,56439,66883,46179,81721,41813,123340,38619,126313,35977,56122,18437,46273,9650,45708,7969,29572,7927,10452,4977,1922,1652,123,103,0,0,0,0
Dec-19,3호선,319,종로3가,20,1,873,928,1332,5082,2226,14079,3228,51336,5544,53890,8153,38526,11499,33486,13207,33413,15304,32713,19239,32641,24383,29470,27244,26821,35062,25548,58831,26634,41821,16034,22442,7869,24067,6275,18931,5101,9121,3660,1307,1339,34,61,0,3,0,0
Dec-19,3호선,320,을지로3가,6,0,581,974,1354,8402,2457,31453,4441,85557,7496,42976,11297,22550,13667,19298,13818,18631,16482,18914,18631,16999,21208,16758,23320,17368,40265,20761,71886,23516,33812,13508,23298,6493,22923,4936,19438,4008,11078,2626,2105,780,32,67,0,6,0,0
Dec-19,3호선,321,충무로,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,4,0,3,0,6,0,6,0,8,0,6,0,11,0,4,0,8,0,5,0,5,0,0,0,0,0,0,0
Dec-19,3호선,322,동대입구,9,0,1599,1195,2649,7773,5185,20621,8869,63247,7923,39202,9079,35200,12165,32315,13860,24791,19173,29987,21076,23000,23718,18623,31268,19917,45508,26574,47066,26577,28380,15590,32482,7346,26236,6448,20864,5522,9355,4074,1146,1688,33,168,0,2,0,0
Dec-19,3호선,323,약수,124,1,6169,1159,10493,5750,26084,15670,43978,37045,32097,26161,23121,18909,22970,18506,25068,18349,25915,19876,25099,21406,25144,23014,28211,27245,32165,33125,38454,46194,22641,33825,18294,22326,18313,21703,14759,20678,7469,14047,1427,5917,79,1064,1,38,0,0
Dec-19,3호선,324,금호,33,7,4628,570,10047,2893,27277,4551,42036,9253,27154,7662,18363,7232,16212,7781,14917,9366,14916,11190,12839,12524,12648,15354,13810,18116,15236,22622,14046,31973,9076,24408,6736,18257,5472,16935,4360,16187,2245,10720,469,3321,16,74,0,0,0,0
Dec-19,3호선,325,옥수,220,15,3195,1076,9114,4507,24597,7554,37397,17262,25103,12633,18652,9638,18066,11734,17001,12730,18033,14596,16566,15761,16919,19085,18705,22000,21043,26899,20979,36405,13029,28671,9611,20260,9023,20141,6861,19654,3127,11871,630,3497,5,86,0,0,0,0
Dec-19,3호선,326,압구정,65,2,3467,2201,8575,21796,16479,47292,30603,156530,24187,167751,29654,89035,39672,84924,47621,66269,54011,72138,66392,66741,76471,63961,85227,63984,103532,76662,153903,84083,111171,50030,89181,22950,71738,18266,59082,15911,22195,9903,2907,3885,61,583,1,29,0,0
Dec-19,3호선,327,신사,95,5,5112,1554,7193,20799,12755,43875,22290,116393,19987,139385,22221,80044,30458,64046,37198,66696,45127,72352,55994,69510,66333,66850,77960,68645,103163,78358,150556,107027,109926,66702,77632,29005,88174,21409,83993,17700,39971,12644,6074,4705,47,230,1,8,0,0
